Plate,Sample ID,# of Bees (RNA),# of Mites,# of Bees,# of Mites,% Infestation,Concentration (µg),RNA vol,Water vol,Equalization (µg),RPS5 Cq,RPS5 SD,,DWV-A Cq,DWV-A SD,Log10Copies,lab_ID,yard,Copies/uL,Copies/uL DWV-A,,DWV-B Cq,DWV-B SD,Log10Copies,Copies/uL,Copies/uL DWV-B,,BQCV Cq,BQCV SD,Log10Copies,Copies/uL,Copies/uL BQCV,,IAPV Cq,IAPV SD,Log10Copies,Copies/uL,Copies/uL IAPV,,SBV Cq,SBV SD,Log10Copies,Copies/uL,Copies/uL SBV,,CBPV Cq,CBPV SD,Log10Copies,Copies/uL,Copies/uL CBPV,,LSV Cq,LSV SD,Log10Copies,Copies/uL,Copies/uL LSV
,A16,50,1,10,1,3.333,1897.7,2.6,97.4,50.4,18.9,0.132,,16.2,0.096,5.273,,,187609.403,187609,,13.7,0.308,7.96,91165300.366,91165300,,24.3,0.085,4.831,67817.383,67817,,34.4,0,1.228,16.886,0,,40,0,-0.544,0.286,0,,40,0,-1.496,0.032,0,,15.3,0.056,7.329522246,21356114.78,21356115
,A17,50,2,12,0,3.226,2449.8,2,98,50.1,17.9,0.022,,27.9,0.122,2.241,,,174.178,174,,10,0.278,9.031,1074082290.93,1074082291,,23,0.291,5.239,173327.793,173328,,33.8,0.778,1.398,25.013,0,,40,0,-0.544,0.286,0,,40,0,-1.496,0.032,0,,33.8,0,1.963825411,92.00796207,0
,A18,50,2,10,0,3.333,536,9.3,90.7,50.2,17.4,0.256,,27.6,0.349,2.328,,,212.646,213,,13.2,0.272,8.119,131585720.044,131585720,,19.5,0.244,6.299,1992953.097,1992953,,32.2,0,1.829,67.416,0,,37.4,0,0.25,1.777,0,,30.5,0.178,1.419,26.258,26,,14.3,0.057,7.627164691,42380364.88,42380365
,A19,50,5,6,0,8.929,2343.2,2.1,97.9,50.6,18.3,0.049,,26.2,0.231,2.678,,,476.47,476,,13,0.153,8.157,143552674.06,143552674,,15.1,0.163,7.642,43838168.36,43838168,,33.7,0.139,1.415,25.989,0,,30.3,0.543,2.406,254.831,255,,40,0,-1.496,0.032,0,,21.5,0.044,5.531168214,339756.8442,339757
,A20,50,13,17,2,22.388,1780.1,2.8,97.2,50.4,18,0.051,,13,0.444,6.12,,,1319408.034,1319408,,12.3,0.007,8.358,228075349.371,228075349,,13.1,0.129,8.259,181505473.728,181505474,,33.7,0,1.405,25.392,0,,26.8,0.292,3.475,2986.91,2987,,40,0,-1.496,0.032,0,,31.6,0.175,2.600754523,398.7994249,399
,A21,50,5,5,0,9.091,2516.5,2,98,49.5,18.1,0.079,,28.4,0.015,2.114,,,129.91,130,,13.2,0.539,8.105,127449397.21,127449397,,14.7,0,7.771,59023813.048,59023813,,35,0.275,1.039,10.935,0,,32.7,0.594,1.664,46.103,0,,33.1,0,0.63,4.264,0,,33,0,2.195322883,156.7916329,0
,A22,50,4,12,0,6.452,2399.8,2.1,97.9,51,17.7,0.158,,27.7,0.015,2.3,,,199.643,200,,22.2,0.051,5.495,312906.857,312907,,22.9,0.428,5.246,176085.386,176085,,35.9,3.22,0.8,6.308,0,,35.8,3.224,0.726,5.317,0,,33.8,0,0.388,2.443,0,,30.3,0.115,2.987925598,972.5805896,973
,A23,50,1,8,2,5.172,2104.5,2.4,97.6,51,17.7,0.125,,27.4,0.265,2.38,,,239.728,240,,19.6,0.042,6.262,1829451.36,1829451,,15.6,0.143,7.495,31273256.078,31273256,,33.9,0.423,1.368,23.31,0,,35.8,0,0.72,5.244,0,,40,0,-1.496,0.032,0,,34,0,1.92138089,83.44126706,0
,A24,50,3,16,1,6.061,2921.3,1.7,98.3,49.5,18,0.48,,28.3,0.13,2.136,,,136.852,137,,15.8,0.011,7.365,23194067.913,23194068,,21.4,0.289,5.706,508309.769,508310,,34.5,0.903,1.182,15.197,0,,32.5,0.457,1.729,53.546,0,,40,0,-1.496,0.032,0,,30.7,0.134,2.875502268,750.7619748,751
,A25,50,6,6,0,10.714,1834,2.7,97.3,49.4,16.9,0.311,,16.4,0.084,5.242,,,174536.594,174537,,13.9,0.532,7.917,82617950.237,82617950,,23,0.206,5.211,162568.056,162568,,33.2,0,1.554,35.833,0,,40,0,-0.544,0.286,0,,33.6,0,0.466,2.923,0,,34.3,0.185,1.817262943,65.65426488,0
,A26,50,2,9,0,3.39,2141.6,2.3,97.7,50.1,17.5,0.133,,28.4,0.046,2.117,,,131.065,131,,11,0.17,8.738,547048543.864,547048544,,26.7,0.178,4.08,12026.433,12026,,36.4,1.945,0.654,4.506,0,,40,0,-0.544,0.286,0,,33.6,0,0.471,2.96,0,,33.2,0,2.13275083,135.7534358,0
,A27,50,18,9,2,33.898,1807.3,2.8,97.2,50.5,17.9,0.174,,10.3,0.167,6.807,,,6408675.608,6408676,,8.7,0.28,9.408,2560096111.651,2560096112,,18.1,0.15,6.727,5331391.766,5331392,,33.8,0,1.398,25.018,0,,37.4,0,0.252,1.787,0,,40,0,-1.496,0.032,0,,15.4,0.055,7.290243873,19509398.19,19509398
,A28,50,3,9,0,5.085,1552.2,3.2,96.8,49.5,17.3,0.016,,15.5,0.021,5.456,,,285993.694,285994,,14.7,0.148,7.689,48916409.977,48916410,,23.3,0.031,5.145,139605.912,139606,,34.1,0.986,1.298,19.86,0,,30.6,0.103,2.323,210.177,210,,33.7,0,0.425,2.659,0,,14,0.045,7.710200025,51309764.88,51309765
,A29,50,2,8,0,3.448,1614.4,3.1,96.9,49.5,17,0.287,,16.2,0.406,5.291,,,195534.394,195534,,14.7,0.091,7.69,48945034.857,48945035,,21.6,0.171,5.641,437867.496,437867,,34.4,0,1.217,16.463,0,,33.7,0,1.377,23.833,0,,36.8,4.119,-0.523,0.3,0,,15,0.227,7.411594303,25798490.96,25798491
,A30,50,8,5,1,16.364,180.4,13.9,36.1,49.8,18.5,0.092,,16.3,0.167,5.256,,,180267.299,180267,,9.1,0.454,9.283,1916952599.969,1916952600,,16,0.116,7.366,23246432.292,23246432,,33.7,0.731,1.411,25.739,0,,39.5,0,-0.382,0.415,0,,40,0,-1.496,0.032,0,,14.9,0.072,7.428681204,26833739.79,26833740
,A31,50,2,6,2,7.143,1596,3.1,96.9,51,17.4,0.122,,15.4,0.072,5.483,,,303850.662,303851,,12.8,0.104,8.229,169408988.093,169408988,,24.6,0.095,4.728,53431.852,53432,,40,0,-0.348,0.449,0,,40,0,-0.544,0.286,0,,32.6,1.748,0.774,5.938,0,,14.1,0.151,7.683103444,48206260.61,48206261
,A32,50,18,7,1,33.333,916.3,5.5,94.5,50.2,16.9,0.21,,12.6,0.186,6.208,,,1616153.332,1616153,,12.6,0.15,8.279,189966910.324,189966910,,25,0.161,4.612,40893.496,40893,,34,0.376,1.336,21.667,0,,34.1,0.905,1.262,18.264,0,,33.7,0,0.433,2.709,0,,30.9,0.041,2.810076976,645.7686774,646
,A33,50,7,8,0,12.069,2000.1,2.5,97.5,50.5,17.1,0.477,,14.4,0.013,5.764,,,580971.076,580971,,10.7,0.162,8.828,673103587.265,673103587,,21.9,0.089,5.553,357468.919,357469,,34.8,0,1.118,13.134,0,,40,0,-0.544,0.286,0,,40,0,-1.496,0.032,0,,14.2,0.364,7.649347175,44601264.87,44601265
,A34,50,9,10,1,16.667,1660.6,3,97,49.6,17.7,0.234,,13.7,0.075,5.938,,,867142.372,867142,,9,0.579,9.322,2097564821.17,2097564821,,21.7,0.044,5.611,408261.423,408261,,30.9,0.638,2.209,161.963,162,,34.1,0,1.256,18.045,0,,32.8,0,0.7,5.007,0,,31.6,0.309,2.60222773,400.1545233,400
,A35,50,17,9,3,33.898,2318.6,2.2,97.8,51,17.8,0.032,,12.8,0.018,6.178,,,1504940.589,1504941,,9.7,0.12,9.114,1299894957.665,1299894958,,26,0.081,4.316,20682.308,20682,,33.6,0.995,1.448,28.025,0,,40,0,-0.544,0.286,0,,40,0,-1.496,0.032,0,,32.8,0.745,2.248959775,177.402516,0
,A36,50,5,7,2,12.281,1527.7,3.3,96.7,49.2,18.2,0.177,,17.4,0.141,4.967,,,92680.066,92680,,9.3,0.186,9.246,1762240421.814,1762240422,,25.2,0.044,4.535,34246.316,34246,,33.3,2.206,1.52,33.132,0,,40,0,-0.544,0.286,0,,37,0,-0.572,0.268,0,,31.5,1.128,2.639565664,436.0794924,436
,A37,50,1,8,2,5.172,288.7,17.3,82.7,49.5,16.7,0.158,,13.1,0.296,6.094,,,1241458.982,1241459,,11.9,0.305,8.495,312888153.289,312888153,,26.2,0.064,4.25,17798.599,17799,,34.1,1.172,1.291,19.543,0,,40,0,-0.544,0.286,0,,32.7,0,0.734,5.422,0,,33.6,0,2.035831583,108.6004395,0
,A38,50,2,6,2,7.143,612.5,8.2,91.8,50.8,17.8,0.328,,14.1,0.558,5.824,,,667017.425,667017,,10,0.177,9.046,1112967030.114,1112967030,,25.2,0.902,4.561,36398.479,36398,,33.7,0,1.412,25.813,0,,40,0,-0.544,0.286,0,,40,0,-1.496,0.032,0,,25.3,0.313,4.443880675,27789.49631,27789
,A39,50,5,9,1,10.169,643.9,7.8,92.2,50.7,17.7,0.277,,14,0.388,5.866,,,734399.71,734400,,12.2,0.059,8.41,256956666.322,256956666,,27.9,0.479,3.712,5157.505,5158,,34.9,0.221,1.08,12.017,0,,40,0,-0.544,0.286,0,,40,0,-1.496,0.032,0,,32.5,0.211,2.343729189,220.6628328,0
,B1,50,0,6,0,0,288.5,17.3,82.7,49.1,17.9,0.073,,11.7,0.166,6.443,,,2774819.51,2774820,,11.1,0.232,8.723,528162990.058,528162990,,15.6,0.161,7.481,30244009.12,30244009,,34,,1.337,21.727,0,,25.8,0.273,3.778,5998.304,5998,,10.2,0.02,7.621,41776546.989,41776547,,29.8,0.365,3.132475616,1356.674355,1357
,B2,50,1,6,0,1.786,810.7,6.2,93.8,51,17.4,0.178,,21.5,0.163,3.911,,,8153.848,8154,,13,0.104,8.176,149850907.782,149850908,,22.5,0.336,5.367,232779.376,232779,,31.7,0.217,1.979,95.197,95,,23.6,1.212,4.455,28498.354,28498,,13.3,0.803,6.685,4841511.498,4841511,,25.8,0.1,4.297765165,19850.21269,19850
,B3,38,0,0,0,0,666.1,7.5,92.5,49.7,17.6,0.125,,12.9,0.303,6.13,,,1348884.29,1348884,,12.8,0.183,8.222,166544196.954,166544197,,13.2,0.293,8.24,173656602.742,173656603,,33.5,0.137,1.459,28.796,0,,24.2,0.458,4.249,17722.421,17722,,8.1,0.639,8.251,178281249.518,178281250,,27.1,0.209,3.91521506,8226.499204,8226
,B4,50,2,5,0,3.636,626.9,8,92,49.5,17.4,0.343,,12.9,0.078,6.14,,,1381070.496,1381070,,11.6,0.039,8.574,375052213.787,375052214,,18.8,0.202,6.525,3346606.23,3346606,,33,0.323,1.599,39.689,0,,31.8,0.108,1.944,87.817,88,,9.7,0.518,7.761,57696232.667,57696233,,14.7,0.264,7.488738905,30813349.17,30813349
,B5,50,0,6,0,0,1220.1,4.1,95.9,49.6,17.5,0.282,,20.9,0.105,4.075,,,11886.699,11887,,15.4,0.017,7.478,30084540.294,30084540,,22.7,0.099,5.329,213265.478,213265,,34.4,1.286,1.207,16.117,0,,39.5,0,-0.405,0.393,0,,22.4,0.343,3.883,7636.521,7637,,32.1,1.531,2.471544231,296.1721591,0
,J1,50,2,7,0,3.509,619.9,8.1,91.9,49.1,17.8,0.191,,26.3,0.031,2.651,,,447.871,448,,18.1,0.45,6.708,5102356.392,5102356,,17,0.307,7.064,11598108.966,11598109,,34.8,0,1.116,13.071,0,,35.9,0.591,0.716,5.197,0,,33.6,0,0.454,2.847,0,,30.9,0.512,2.82181134,663.4547996,663
,J2,50,0,7,0,0,731.4,6.8,93.2,50.4,18.1,0.109,,28.3,0.278,2.132,,,135.486,135,,24.9,0.066,4.725,53148.315,53148,,19.2,0.01,6.377,2383705.375,2383705,,35.5,0,0.91,8.13,0,,37.3,1.355,0.288,1.939,0,,32.1,0.296,0.918,8.281,0,,37.3,0,0.951841907,8.950388911,0
,J3,50,0,12,0,0,2399.5,2.1,97.9,51,17.8,0.146,,28.5,0.111,2.092,,,123.566,124,,26,0.176,4.407,25505.753,25506,,24.1,0.205,4.897,78874.62,78875,,34.9,0.191,1.087,12.228,0,,25.1,0.305,3.993,9832.902,9833,,33,1.172,0.637,4.332,0,,26,0.235,4.236625745,17243.51284,17244
,J4,50,0,3,0,0,1681.7,3,97,49,18.1,0.368,,27.2,0.036,2.425,,,266.262,266,,25.2,0.24,4.657,45388.085,45388,,21.7,0.088,5.616,413372.295,413372,,34.3,1.997,1.245,17.589,0,,34.8,1.459,1.041,10.985,0,,14.7,0.138,6.247,1767007.065,1767007,,34.9,0,1.641243866,43.7767853,0
,J6,50,0,11,0,0,267.9,18.7,81.3,49.2,16.8,0.117,,28.7,0.043,2.033,,,107.988,108,,25.8,0.027,4.457,28639.635,28640,,15.8,0.268,7.435,27244673.611,27244674,,30.6,3.45,2.297,198.189,198,,24.3,0.196,4.216,16451.324,16451,,32.4,0.629,0.835,6.843,0,,40,0,0.176555716,1.501605037,0
,J7,50,0,5,0,0,392.9,12.7,87.3,49.3,17.4,0.005,,28.7,0.022,2.036,,,108.695,109,,24.7,0.039,4.777,59790.292,59790,,23.1,0.082,5.198,157853.894,157854,,32.9,0.187,1.634,43.014,0,,33.4,0,1.455,28.54,0,,32.7,0,0.735,5.429,0,,40,0,0.176555716,1.501605037,0
,J8,50,0,5,0,0,515.3,9.7,90.3,50.1,17.3,0.217,,27,0.12,2.494,,,312.18,312,,25.5,0.097,4.564,36656.482,36656,,23.8,0.053,4.988,97205.001,97205,,33.8,0.751,1.387,24.367,0,,28.6,0.55,2.924,840.297,840,,33,0.713,0.632,4.287,0,,36.1,1.3,1.310691134,20.44989742,0
,J9,50,0,20,0,0,121,20.7,79.3,32.2,18,0.203,,29.3,0.167,1.897,,,78.884,79,,25.8,0.095,4.473,29740.522,29741,,23.9,0.068,4.956,90464.57,90465,,35.1,0,1.031,10.731,0,,34.2,0.671,1.226,16.826,0,,33.1,0.395,0.621,4.177,0,,19.7,0.086,6.042434312,1102641.444,1102641
,J10,50,0,9,0,0,417.1,12,38,50.3,17,0.102,,28.9,0.217,1.984,,,96.43,96,,26.3,0.062,4.336,21693.969,21694,,18.3,0.088,6.68,4785210.045,4785210,,35.3,0,0.973,9.398,0,,32.1,0.685,1.844,69.84,0,,33.9,0.47,0.368,2.331,0,,30.5,0.362,2.918143979,828.2166909,828
,J11,50,0,5,0,0,335.7,14.9,85.1,50.7,17.2,0.068,,28.9,0.49,1.976,,,94.598,95,,25.6,0.001,4.524,33428.015,33428,,14.2,0.013,7.924,83955509.257,83955509,,35.1,0,1.021,10.492,0,,36.5,2.69,0.518,3.299,0,,32.3,0.044,0.845,7.002,0,,20.4,0.186,5.8587148,722295.3182,722295
,J12,50,0,1,0,0,512.5,9.8,90.2,49,17.2,0.17,,28.6,0.125,2.072,,,118.095,118,,23.6,0.251,5.101,126082.501,126083,,17.5,0.292,6.9,7952286.791,7952287,,34.9,0.196,1.071,11.788,0,,39.7,0,-0.454,0.352,0,,33.1,1.1,0.616,4.126,0,,30.1,0.165,3.041193321,1099.495158,1099
,J13,50,0,17,0,0,1205.3,4.1,95.9,50.4,16.9,0.107,,26.5,0.039,2.607,,,404.723,405,,26,0.041,4.42,26313.57,26314,,15.2,0.365,7.606,40360435.489,40360435,,32.9,0.083,1.644,44.035,0,,38.7,0,-0.16,0.692,0,,31.5,0.221,1.101,12.613,13,,29.5,0.029,3.220068816,1659.849897,1660
,J14,50,2,10,0,3.333,400.8,12.5,87.5,50.2,17,0.154,,28.9,0.63,1.993,,,98.37,98,,24.8,0.126,4.747,55835.352,55835,,24.3,0.048,4.824,66749.481,66749,,30.5,6.174,2.306,202.187,202,,40,0,-0.544,0.286,0,,40,0,-1.496,0.032,0,,33.8,0.828,1.98375709,96.3290085,0
,J15,50,0,7,0,0,568.9,8.8,91.2,49,17.1,0.627,,28.3,0.032,2.149,,,140.767,141,,25.3,0.175,4.609,40653.601,40654,,17.4,0.003,6.945,8815107.721,8815108,,30.2,4.835,2.391,245.905,246,,29.6,0.296,2.607,404.461,404,,33.8,0,0.409,2.567,0,,17.8,0.905,6.600867824,3989034.792,3989035
,J16,50,0,17,1,1.493,1514.5,3.3,96.7,49.4,17.4,0.238,,28.7,0.039,2.042,,,110.143,110,,26.1,0.235,4.388,24411.959,24412,,22.1,0.142,5.499,315750.187,315750,,34.1,1.05,1.296,19.776,0,,36.7,0,0.462,2.9,0,,33.8,0.015,0.407,2.55,0,,27.8,0.04,3.711198615,5142.787916,5143
,J17,50,0,9,0,0,510.2,9.8,90.2,49.8,17.3,0.121,,27.9,0.261,2.242,,,174.596,175,,26.2,0.052,4.348,22296.789,22297,,18.2,0.076,6.705,5073629.729,5073630,,35.3,0,0.977,9.492,0,,30.4,0.161,2.388,244.332,244,,40,0,-1.496,0.032,0,,35,1.21,1.633879724,43.04073947,0
,J18,48,0,1,0,0,84.4,17.8,12.2,49.7,17.2,0.363,,27.6,0.187,2.324,,,210.646,211,,25.4,0.089,4.576,37659.387,37659,,16.3,0.06,7.272,18720889.763,18720890,,33.7,0.36,1.411,25.781,0,,33.2,0.617,1.513,32.572,0,,33.2,0,0.582,3.819,0,,18.1,0.166,6.524102383,3342738.346,3342738
,J19,50,0,9,0,0,117,12.8,17.2,49,16.6,0.076,,29.1,0.309,1.941,,,87.348,87,,26.1,0.086,4.38,23992.916,23993,,22.8,0.188,5.281,191064.168,191064,,29.5,3.749,2.605,402.703,403,,34.6,3.005,1.084,12.122,0,,38.6,0,-1.082,0.083,0,,34.4,0,1.806252876,64.01074416,0
,J20,50,0,7,0,0,504.7,9.9,90.1,50.8,16.9,0.031,,25.3,0.033,2.916,,,824.018,824,,25.1,0.263,4.668,46579.387,46579,,15.5,0.087,7.511,32460263.899,32460264,,33.4,0.466,1.498,31.456,0,,30.3,0.549,2.416,260.389,260,,40,0,-1.496,0.032,0,,19.3,0.516,6.174117333,1493197.772,1493198
,J21,50,1,11,0,1.639,15.4,,,15.4,19.1,0.291,,27.9,0.505,2.256,,,180.416,180,,26,0.073,4.413,25870.32,25870,,25.5,0.082,4.459,28753.022,28753,,33.7,0,1.427,26.713,0,,40,0,-0.544,0.286,0,,30,0.168,1.571,37.27,37,,40,0,0.176555716,1.501605037,0
,J22,50,0,7,0,0,232.6,10.7,39.3,50.2,16.6,0.072,,27.9,0.353,2.236,,,172.351,172,,22.8,0.066,5.34,218966.725,218967,,23.2,0.227,5.176,150092.818,150093,,31.7,1.392,1.975,94.42,94,,39.3,0,-0.345,0.452,0,,33.5,0,0.496,3.13,0,,21.2,0.093,5.620092581,416958.2598,416958
,J23,50,0,12,0,0,198.2,12.6,37.4,49.2,17,0.006,,27.8,0.062,2.264,,,183.733,184,,23.7,0.002,5.073,118396.609,118397,,15.7,0.151,7.472,29680565.167,29680565,,33.6,0.314,1.457,28.617,0,,33.5,0.954,1.433,27.077,0,,32.8,1.215,0.705,5.071,0,,17,0.131,6.826748297,6710398.267,6710398
,J24,50,0,7,0,0,315.5,15.8,84.2,50.1,16.5,0.13,,28.9,0.261,1.984,,,96.451,96,,25.1,0.151,4.678,47688.755,47689,,20.8,0.023,5.895,785220.577,785221,,31.1,2.371,2.148,140.448,140,,37.6,0.072,0.19,1.548,0,,23,0.188,3.708,5105.131,5105,,40,0,0.176555716,1.501605037,0
,J25,50,0,6,0,0,45,,,45,16.9,0.586,,28.9,0.364,1.981,,,95.616,96,,26.1,0.014,4.395,24817.664,24818,,24.5,0.029,4.774,59416.305,59416,,33.7,0.342,1.404,25.364,0,,36.5,1.148,0.506,3.203,0,,38.8,0,-1.115,0.077,0,,39.1,0,0.42570398,2.665041523,0
,J26,50,0,9,1,1.695,878.3,5.7,94.3,50.2,17.4,0.046,,27.7,0.045,2.29,,,195.075,195,,24.9,0.168,4.737,54533.128,54533,,15.1,0.257,7.635,43159061.775,43159062,,35.2,0,0.987,9.697,0,,24.1,0.19,4.289,19447.208,19447,,40,0,-1.496,0.032,0,,34.5,0.249,1.76702624,58.4825418,0
,J27,50,0,10,0,0,207.8,12,38,50.4,16.7,0.195,,28.9,0.081,1.981,,,95.768,96,,25.7,0.032,4.499,31523.71,31524,,14.8,0.214,7.745,55610201.887,55610202,,32.4,1.461,1.77,58.881,0,,37.7,0.057,0.153,1.421,0,,40,0,-1.496,0.032,0,,36.9,0,1.059489203,11.4680401,0
,J28,50,0,0,0,0,531.4,9.4,90.6,50.2,16.8,0.237,,28.6,0.05,2.06,,,114.809,115,,25.8,0.228,4.474,29783.71,29784,,22.5,0.328,5.37,234585.118,234585,,32.4,1.278,1.77,58.86,0,,38.5,0.412,-0.082,0.827,0,,40,0,-1.496,0.032,0,,40,0,0.176555716,1.501605037,0
,J30,50,0,10,0,0,270.5,18.5,81.5,49,16.8,0.073,,29.4,0.565,1.854,,,71.442,71,,25.3,0.035,4.617,41439.217,41439,,23.4,0.126,5.093,123819.67,123820,,33,0.497,1.618,41.448,0,,39.1,0,-0.258,0.552,0,,34.4,0.082,0.23,1.698,0,,40,0,0.176555716,1.501605037,0
,J58,50,0,12,0,0,1862.9,2.7,97.3,50.4,16.9,0.067,,28.4,0.036,2.128,,,134.427,134,,26,0.059,4.422,26419.437,26419,,17.8,0.141,6.815,6529410.354,6529410,,31.6,0.573,2.005,101.175,101,,36.7,0.514,0.469,2.942,0,,40,0,-1.496,0.032,0,,33.3,0,2.122678115,132.6410999,0
