#Instrument:StepOnePlus System,,,,,,,,
#Block:96-Well,,,,,,,,
Reporter,Target,Slope,Y-Intercept,R2,Efficiency (%),Quantities,Std Dev,Std Error
SYBR,DWV,-3.569952,35.57592,0.9939175,90.6,"41.1, 411, 4110, 41100,411000,4110000,41100000,411000000",0.2903,0.074365312
SYBR,ACTIN,-3.57306,36.29999,0.9990826,90.49,"41.1, 411, 4110, 41100,411000,4110000,41100000,411000000",0.0484,0.030367307
