lab_ID,NormGenomeCopy
21,93164343071
22,40570760417
24,3692884941
25,2045078199
26,10061052907
27,26856180499
28,8940675678
29,810960633.5
30,11443491064
31,2897016.26
32,14989932.46
33,9273684889
34,34444306124
35,827253.8816
36,2132180.852
37,2288862.541
38,831717.3153
39,400631.3729
40,2424381.461
41,348942.711
42,95784.75604
43,40809169.37
44,515517.5038
45,60558.50229
46,486865.0334
47,638845.4662
48,11495341.34
49,76137161.66
50,15270133104
51,3857847.496
52,16287828463
53,67548393576
54,27617743698
55,2.04E+11
56,33677901759
57,67412482722
59,12135629.6
60,44037.74537
61,93137.53969
62,70852.48625
63,21805586.32
64,76101.68569
65,286526.6729
66,396217.8493
67,689086903.2
68,285733085.9
70,23651127465
71,228761346.4
72,249832297.7
73,14336815
74,20254847139
75,274711003.6
76,61535412932
77,50481880968
78,11796783462
79,451734382.4
80,1134397.555
81,2093670.786
82,54816523250
83,55926657.81
85,10312409343
