yard,treatment_grp,lab_ID,field_ID,nuc_year,date_collected,sampling_event,year,queen_breeder,queen_year_mated,overwinter_success,virgin_year,frame_of_bees_FHA,frame_of _bees_date,frame_of_bees,brood_amnt_FHA,brood_amnt,brood_pat,brood_swarm_cells,disease_present,FKB_start_date,FKB_end_date,FKB_start_uncapped,FKB_start_capped,FKB_end_capped,FKB_percentile,UBO_date,UBO_T0,UBO_T2,UBO_T0_capped,UBO_T2_capped,UBO_assay_score,RNA_ext_date,virus_count,varroa_count,nosema_count,varroa_load_mites/100bees,nosema_load_spores/bee,honey_removed,october_weight,queen_eval_pat,queen_eval_amt,pollen_sub_added,comments,,,,
Camisa,,43,10,,5/26/2021,1,2021,69,2020,,,,,,6,6,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Camisa,,44,5,,5/26/2021,1,2021,69,2020,,,,,,6,6,,,,,,,,,,,,,,,,,,0,2,0,100000,,,,,,,,,,
Camisa,,42,11,,5/26/2021,1,2021,69,2020,,,,,,7,7,,,,,,,,,,,,,,,,,,0,2,0,100000,,,,,,,,,,
Camisa,,48,19,,5/26/2021,1,2021,69,2020,,,,,,7,7,,,,,,,,,,,,,,,,,,0,2,0,100000,,,,,,,,,,
Camisa,,45,16,,5/26/2021,1,2021,69,2020,,,,,,6,6,,,,,,,,,,,,,,,,,,0,5,0,250000,,,,,,,,,,
Camisa,,47,14,,5/26/2021,1,2021,69,2020,,,,,,6,6,,,,,,,,,,,,,,,,,,0,1,0,50000,,,,,,,,,,
Yandow,,59,2,,6/2/2021,1,2021,76,2019,,,10+,,10,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Yandow,,60,9,,6/2/2021,1,2021,69,2019,,,12,,12,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Yandow,,61,UVM1,,6/2/2021,1,2021,69,2020,,,,,,8,8,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Yandow,,62,UVM2,,6/2/2021,1,2021,75,2020,,,,,,8,8,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Yandow,,63,UVM3,,6/2/2021,1,2021,76,2020,,,,,,8,8,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Yandow,,64,UVM4,,6/2/2021,1,2021,75,2020,,,,,,7,7,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Yandow,,65,24,,6/2/2021,1,2021,78,2019,,,7,,7,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Yandow,,66,UVM5,,6/2/2021,1,2021,69,2020,,,,,,8,8,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Allard,,56,25,,6/2/2021,1,2021,78,2019,,,8,,8,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Allard,,49,14,,6/2/2021,1,2021,78,2019,,,12+,,12,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Allard,,55,20,,6/2/2021,1,2021,,2019,,,12,,12,,,,,,,,,,,,,,,,,,,,5,0,1.666666667,0,,,,,,,,,,
Allard,,58,7,,6/2/2021,1,2021,69,2020,,,9+,,9,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Allard,,50,8,,6/2/2021,1,2021,68 NDQ,2018,,,10,,10,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Allard,,53,15,,6/2/2021,1,2021,69,2019,,,8,,8,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Allard,,57,9,,6/2/2021,1,2021,65,2019,,,15+,,15,,,,,,,,,,,,,,,,,,,,2,0,0.6666666667,0,,,,,,,,,,
Allard,,51,16,,6/2/2021,1,2021,67,2019,,,12,,12,,,,,,,,,,,,,,,,,,,,3,0,1,0,,,,,,,,,,
Allard,,52,18,,6/2/2021,1,2021,67,2019,,,15+,,15,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Allard,,54,17,,6/2/2021,1,2021,69,2019,,,8,,8,,,,,,,,,,,,,,,,,,,,4,0,1.333333333,0,,,,,,,,,,
Martin,,29,21G,,6/24/21,2,2021,,,,,,,,,,,SWMD 6/22,,6/22/21,6/24/21,16,144,15,89.58%,,,,,,,,,0,2,0,100000,,,,,,,,,,
Martin,,31,22G,,6/24/21,2,2021,,,,,,,,,,,,,6/22/21,6/24/21,25,135,5,96.30%,,,,,,,,,1,3,0.3333333333,150000,,,,,,,,,,
Martin,,26,16G,,6/24/21,2,2021,,,,,,,,,,,,,6/22/21,6/24/21,24,136,30,77.94%,,,,,,,,,0,0,0,0,,,,,,,,,,
Martin,,21,14G,,6/24/21,2,2021,,,,,,,,,,,,,6/22/21,6/24/21,8,152,67,55.92%,,,,,,,,,3,0,1,0,,,,,,,,,,
Martin,,23,02G,,6/24/21,2,2021,,,,,,,,,,,,,6/22/21,6/24/21,12,148,31,79.05%,,,,,,,,,4,0,1.333333333,0,,,,,,,,,,
Martin,,24,25G,,6/24/21,2,2021,,,,,,,,,,,,,6/22/21,6/24/21,24,136,35,74.26%,,,,,,,,,4,0,1.333333333,0,,,,,,,,,,
Martin,,22,14GA,,6/24/21,2,2021,,,,,,,,,,,,,6/22/21,6/24/21,8,152,36,76.32%,,,,,,,,,0,0,0,0,,,,,,,,,,
Martin,,32,18G,,6/24/21,2,2021,,,,,,,,,,,,,6/22/21,6/24/21,4,156,78,50.00%,,,,,,,,,0,0,0,0,,,,,,,,,,
Martin,,28,27G,,6/24/21,2,2021,,,,,,,,,,,,,6/22/21,6/24/21,20,140,49,65.00%,,,,,,,,,3,0,1,0,,,,,,,,,,
Martin,,25,26G,,6/24/21,2,2021,,,,,,,,,,,,,6/22/21,6/24/21,15,145,3,97.93%,,,,,,,,,0,0,0,0,,,,,,,,,,
Martin,,30,19G,,6/24/21,2,2021,,,,,,,,,,,,,6/22/21,6/24/21,3,157,119,24.20%,,,,,,,,,10,1,3.333333333,50000,,,,,,,,,,
Martin,,33,08G,,6/24/21,2,2021,,,,,,,,,,,,,6/22/21,6/24/21,0,160,6,96.25%,,,,,,,,,1,0,0.3333333333,0,,,,,,,,,,
Martin,,27,11,,6/24/21,2,2021,,,,,,,,,,,,,6/22/21,6/24/21,10,150,66,56.00%,,,,,,,,,10,3,3.333333333,150000,,,,,,,,,,
Fortin,,80,2,,6/25/21,2,2021,,,,,,,,,,,,,6/23/21,6/25/21,24,136,20,85.29%,,,,,,,,,0,2,0,100000,,,,,,,,,,
