Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
nc	Default	3/3/2011	8:39 AM	1.87	0.047	0.022	2.18	0.08	40.00	230	0.577	0.045
67	Default	3/3/2011	8:40 AM	243.14	6.079	2.832	2.15	0.97	40.00	230	6.272	0.035
71	Default	3/3/2011	8:41 AM	471.48	11.787	5.545	2.13	2.34	40.00	230	5.041	0.028
68	Default	3/3/2011	8:41 AM	117.36	2.934	1.359	2.16	0.56	40.00	230	5.210	0.016
72	Default	3/3/2011	8:42 AM	420.86	10.522	4.978	2.11	2.30	40.00	230	4.566	0.010
73	Default	3/3/2011	8:43 AM	226.59	5.665	2.664	2.13	2.34	40.00	230	2.416	0.012
75	Default	3/3/2011	8:43 AM	592.57	14.814	6.850	2.16	2.34	40.00	230	6.324	0.080
70	Default	3/3/2011	8:44 AM	421.79	10.545	4.936	2.14	2.28	40.00	230	4.622	0.019
77	Default	3/3/2011	8:45 AM	209.26	5.232	2.476	2.11	2.39	40.00	230	2.192	0.010
