Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
nc	Default	2/17/2011	7:16 AM	0.20	0.005	0.002	2.25	-0.14	40.00	230	-0.035	0.078
33	Default	2/17/2011	7:17 AM	468.03	11.701	5.601	2.09	2.50	40.00	230	4.688	0.003
66	Default	2/17/2011	7:17 AM	592.02	14.800	6.921	2.14	2.26	40.00	230	6.536	0.162
27	Default	2/17/2011	7:18 AM	777.10	19.427	9.168	2.12	2.37	40.00	230	8.193	0.130
59	Default	2/17/2011	7:19 AM	748.53	18.713	8.751	2.14	1.77	40.00	230	10.555	0.246
62	Default	2/17/2011	7:19 AM	722.23	18.056	8.465	2.13	2.12	40.00	230	8.512	0.143
46	Default	2/17/2011	7:20 AM	501.12	12.528	5.877	2.13	1.21	40.00	230	10.392	0.082
38	Default	2/17/2011	7:21 AM	515.78	12.895	6.058	2.13	2.36	40.00	230	5.462	0.131
37	Default	2/17/2011	7:21 AM	653.88	16.347	7.618	2.15	1.22	40.00	230	13.372	4.918
26	Default	2/17/2011	7:22 AM	450.78	11.270	5.356	2.10	1.97	40.00	230	5.709	0.021
