Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
nc	Default	3/2/2011	8:20 AM	1.08	0.027	0.013	2.16	0.10	40.00	230	0.281	0.010
82	Default	3/2/2011	8:21 AM	586.92	14.673	6.650	2.21	2.38	40.00	230	6.159	0.124
80	Default	3/2/2011	8:21 AM	276.65	6.916	3.139	2.20	1.85	40.00	230	3.742	-0.006
85	Default	3/2/2011	8:22 AM	614.38	15.359	6.979	2.20	2.36	40.00	230	6.510	0.110
50	Default	3/2/2011	8:23 AM	538.61	13.465	6.120	2.20	1.80	40.00	230	7.461	0.113
83	Default	3/2/2011	8:24 AM	364.45	9.111	4.139	2.20	2.34	40.00	230	3.893	-0.006
79	Default	3/2/2011	8:24 AM	445.24	11.131	5.100	2.18	2.40	40.00	230	4.630	0.003
81	Default	3/2/2011	8:25 AM	516.52	12.913	5.876	2.20	1.79	40.00	230	7.208	0.121
51	Default	3/2/2011	8:26 AM	547.22	13.681	6.254	2.19	2.26	40.00	230	6.047	0.253
76	Default	3/2/2011	8:26 AM	216.56	5.414	2.457	2.20	2.22	40.00	230	2.435	0.004
