Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
nc	Default	2/28/2011	7:47 AM	1.63	0.041	0.008	5.01	0.36	40.00	230	0.113	0.031
74	Default	2/28/2011	7:48 AM	661.98	16.549	7.576	2.18	1.48	40.00	230	11.197	0.025
55	Default	2/28/2011	7:49 AM	607.28	15.182	6.874	2.21	2.43	40.00	230	6.254	3.037
56	Default	2/28/2011	7:50 AM	758.95	18.974	8.637	2.20	1.90	40.00	230	9.989	0.052
78	Default	2/28/2011	7:50 AM	627.57	15.689	7.155	2.19	1.78	40.00	230	8.804	0.071
49	Default	2/28/2011	7:51 AM	614.79	15.370	6.966	2.21	1.81	40.00	230	8.476	0.167
52	Default	2/28/2011	7:51 AM	413.53	10.338	4.731	2.19	2.34	40.00	230	4.420	0.010
54	Default	2/28/2011	7:52 AM	329.43	8.236	3.760	2.19	2.38	40.00	230	3.458	0.149
57	Default	2/28/2011	7:53 AM	752.84	18.821	8.588	2.19	2.32	40.00	230	8.109	0.145
53	Default	2/28/2011	7:54 AM	326.89	8.172	3.706	2.20	2.26	40.00	230	3.611	0.008
