Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
nc	Default	2/16/2011	11:56 AM	-0.04	-0.001	0.006	-0.18	0.01	40.00	230	-0.143	0.014
65	Default	2/16/2011	11:57 AM	553.61	13.840	6.553	2.11	2.18	40.00	230	6.347	0.040
30	Default	2/16/2011	12:00 PM	440.85	11.021	5.185	2.13	1.81	40.00	230	6.074	0.009
64	Default	2/16/2011	12:01 PM	678.70	16.968	8.004	2.12	1.94	40.00	230	8.752	0.100
31	Default	2/16/2011	12:02 PM	621.78	15.544	7.350	2.11	1.94	40.00	230	8.016	0.055
43	Default	2/16/2011	12:02 PM	442.21	11.055	5.192	2.13	1.88	40.00	230	5.882	0.008
47	Default	2/16/2011	12:03 PM	539.42	13.485	6.388	2.11	1.41	40.00	230	9.594	0.053
25	Default	2/16/2011	12:04 PM	665.53	16.638	7.884	2.11	2.23	40.00	230	7.471	0.038
